Station,Line1,Line2,Line3,Line4
Finch,TRUE,FALSE,FALSE,FALSE
North York Centre,TRUE,FALSE,FALSE,FALSE
Sheppard-Yonge,TRUE,FALSE,FALSE,TRUE
York Mills,TRUE,FALSE,FALSE,FALSE
Lawrence,TRUE,FALSE,FALSE,FALSE
Eglinton,TRUE,FALSE,FALSE,FALSE
Davisville,TRUE,FALSE,FALSE,FALSE
St. Clair,TRUE,FALSE,FALSE,FALSE
Summerhill,TRUE,FALSE,FALSE,FALSE
Rosedale,TRUE,FALSE,FALSE,FALSE
Bloor–Yonge,TRUE,TRUE,FALSE,FALSE
Wellesley,TRUE,FALSE,FALSE,FALSE
College,TRUE,FALSE,FALSE,FALSE
Dundas,TRUE,FALSE,FALSE,FALSE
Queen,TRUE,FALSE,FALSE,FALSE
King,TRUE,FALSE,FALSE,FALSE
Union,TRUE,FALSE,FALSE,FALSE
St. Andrew,TRUE,FALSE,FALSE,FALSE
Osgoode,TRUE,FALSE,FALSE,FALSE
St. Patrick,TRUE,FALSE,FALSE,FALSE
Queen's Park,TRUE,FALSE,FALSE,FALSE
Museum,TRUE,FALSE,FALSE,FALSE
St. George,TRUE,TRUE,FALSE,FALSE
Spadina,TRUE,TRUE,FALSE,FALSE
Dupont,TRUE,FALSE,FALSE,FALSE
St. Clair West,TRUE,FALSE,FALSE,FALSE
Eglinton West,TRUE,FALSE,FALSE,FALSE
Glencairn,TRUE,FALSE,FALSE,FALSE
Lawrence West,TRUE,FALSE,FALSE,FALSE
Yorkdale,TRUE,FALSE,FALSE,FALSE
Wilson,TRUE,FALSE,FALSE,FALSE
Sheppard West,TRUE,FALSE,FALSE,FALSE
Downsview Park,TRUE,FALSE,FALSE,FALSE
Finch West,TRUE,FALSE,FALSE,FALSE
York University,TRUE,FALSE,FALSE,FALSE
Pioneer Village,TRUE,FALSE,FALSE,FALSE
Highway 407,TRUE,FALSE,FALSE,FALSE
Vaughan Metro Centre,TRUE,FALSE,FALSE,FALSE
Kipling,FALSE,TRUE,FALSE,FALSE
Islington,FALSE,TRUE,FALSE,FALSE
Royal York,FALSE,TRUE,FALSE,FALSE
Old Mill,FALSE,TRUE,FALSE,FALSE
Jane,FALSE,TRUE,FALSE,FALSE
Runnymede,FALSE,TRUE,FALSE,FALSE
High Park,FALSE,TRUE,FALSE,FALSE
Keele,FALSE,TRUE,FALSE,FALSE
Dundas West,FALSE,TRUE,FALSE,FALSE
Lansdowne,FALSE,TRUE,FALSE,FALSE
Dufferin,FALSE,TRUE,FALSE,FALSE
Ossington,FALSE,TRUE,FALSE,FALSE
Christie,FALSE,TRUE,FALSE,FALSE
Bathurst,FALSE,TRUE,FALSE,FALSE
Bay,FALSE,TRUE,FALSE,FALSE
Sherbourne,FALSE,TRUE,FALSE,FALSE
Castle Frank,FALSE,TRUE,FALSE,FALSE
Broadview,FALSE,TRUE,FALSE,FALSE
Chester,FALSE,TRUE,FALSE,FALSE
Pape,FALSE,TRUE,FALSE,FALSE
Donlands,FALSE,TRUE,FALSE,FALSE
Greenwood,FALSE,TRUE,FALSE,FALSE
Coxwell,FALSE,TRUE,FALSE,FALSE
Woodbine,FALSE,TRUE,FALSE,FALSE
Main Street,FALSE,TRUE,FALSE,FALSE
Victoria Park,FALSE,TRUE,FALSE,FALSE
Warden,FALSE,TRUE,FALSE,FALSE
Kennedy,FALSE,TRUE,TRUE,FALSE
Lawrence East,FALSE,FALSE,TRUE,FALSE
Ellesmere,FALSE,FALSE,TRUE,FALSE
Midland,FALSE,FALSE,TRUE,FALSE
Scarborough Centre,FALSE,FALSE,TRUE,FALSE
McCowan,FALSE,FALSE,TRUE,FALSE
Bayview,FALSE,FALSE,FALSE,TRUE
Bessarion,FALSE,FALSE,FALSE,TRUE
Leslie,FALSE,FALSE,FALSE,TRUE
Don Mills,FALSE,FALSE,FALSE,TRUE